"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.534963864E0,-5.270400047E0,2.110599899E1,-4.554259872E1,5.047146331E1
1.544963742E0,-5.087399960E0,2.131340027E1,-4.490819931E1,4.996888066E1
1.554963661E0,-4.611599922E0,2.113039970E1,-4.523759842E1,5.014180847E1
1.564955971E0,-4.880000114E0,2.094739914E1,-4.565240097E1,5.046533113E1
1.574964028E0,-5.087399960E0,2.117919922E1,-4.554259872E1,5.048334791E1
1.584963784E0,-4.965399742E0,2.076440048E1,-4.511560059E1,4.991225239E1
1.594963784E0,-4.721399784E0,2.153299904E1,-4.492039871E1,5.003802438E1
1.604963744E0,-4.684800148E0,2.075219917E1,-4.490819931E1,4.969252950E1
1.614963866E0,-4.709199905E0,2.122799873E1,-4.533519745E1,5.028006187E1
1.624997639E0,-5.282599926E0,2.147200012E1,-4.522539902E1,5.034172591E1
1.634977742E0,-4.721399784E0,2.130119896E1,-4.620140076E1,5.109405176E1
1.644982177E0,-4.977600098E0,2.102059937E1,-4.576219940E1,5.060455508E1
1.654969727E0,-5.453399658E0,2.106939888E1,-4.554259872E1,5.047561229E1
1.664982097E0,-4.867799759E0,2.076440048E1,-4.522539902E1,5.000192514E1
1.674982219E0,-4.831200123E0,2.160619926E1,-4.566460037E1,5.074863612E1
1.684970053E0,-5.087399960E0,2.121579933E1,-4.522539902E1,5.021283198E1
1.694982219E0,-5.282599926E0,2.127680016E1,-4.554259872E1,5.054440014E1
1.704981569E0,-4.709199905E0,2.125239944E1,-4.533519745E1,5.029036860E1
1.714982261E0,-5.050799847E0,2.075219917E1,-4.446899796E1,4.933210039E1
1.724982383E0,-5.075200081E0,2.097179985E1,-4.576219940E1,5.059400102E1
1.734968915E0,-4.513999939E0,2.109379959E1,-4.566460037E1,5.050327023E1
1.744982668E0,-4.806799889E0,2.128899956E1,-4.609159851E1,5.099766936E1
1.754981977E0,-5.172800064E0,2.122799873E1,-4.522539902E1,5.022671109E1
1.764982384E0,-5.160599709E0,2.082539940E1,-4.607939911E1,5.082951969E1
1.774982099E0,-5.001999855E0,2.127680016E1,-4.522539902E1,5.023006016E1
1.785029504E0,-5.160599709E0,2.089859962E1,-4.585979843E1,5.066067871E1
1.794982181E0,-4.672599792E0,2.064239883E1,-4.522539902E1,4.993274011E1
1.804981897E0,-4.526199818E0,2.125239944E1,-4.555479813E1,5.047168116E1
1.814982711E0,-5.099599838E0,2.155739975E1,-4.490819931E1,5.007468190E1
1.824982304E0,-5.014199734E0,2.150860023E1,-4.598180008E1,5.101066576E1
1.834969202E0,-4.989799976E0,2.131340027E1,-4.468859863E1,4.976173211E1
1.844981125E0,-4.892199993E0,2.110599899E1,-4.533519745E1,5.024616346E1
1.854981613E0,-4.721399784E0,2.136219978E1,-4.501799774E1,5.005252557E1
1.864982102E0,-4.721399784E0,2.142319870E1,-4.501799774E1,5.007859003E1
1.874982590E0,-4.733600140E0,2.160619926E1,-4.492039871E1,5.007072036E1
1.884970343E0,-5.184999943E0,2.139879990E1,-4.565240097E1,5.068465819E1
1.894969122E0,-4.709199905E0,2.128899956E1,-4.481060028E1,4.983360275E1
1.904981574E0,-4.709199905E0,2.130119896E1,-4.481060028E1,4.983881558E1
1.914982103E0,-4.977600098E0,2.111820030E1,-4.479840088E1,4.977601438E1
1.924982103E0,-5.099599838E0,2.159399986E1,-4.523759842E1,5.038598078E1
1.934969327E0,-5.087399960E0,2.111820030E1,-4.661619949E1,5.142888369E1
1.944978808E0,-5.062999725E0,2.067899895E1,-4.543280029E1,5.017364155E1
1.954981697E0,-4.977600098E0,2.102059937E1,-4.576219940E1,5.060455508E1
1.964981860E0,-5.184999943E0,2.139879990E1,-4.544499969E1,5.049792925E1
1.974982064E0,-4.550600052E0,2.181359863E1,-4.534740067E1,5.052650585E1
1.984969084E0,-5.099599838E0,2.149639893E1,-4.629899979E1,5.130008252E1
1.994982064E0,-5.270400047E0,2.111820030E1,-4.607939911E1,5.096142191E1
2.004981698E0,-5.075200081E0,2.110599899E1,-4.500579834E1,4.996741672E1
2.014981943E0,-5.453399658E0,2.110599899E1,-4.554259872E1,5.049090076E1
2.024967661E0,-5.087399960E0,2.131340027E1,-4.544499969E1,5.045186485E1
2.034963551E0,-4.916599751E0,2.141099930E1,-4.629899979E1,5.124647525E1
2.044963958E0,-4.806799889E0,2.131340027E1,-4.523759842E1,5.023750259E1
2.054963796E0,-5.282599926E0,2.149639893E1,-4.533519745E1,5.045077954E1
2.064953746E0,-4.867799759E0,2.066679955E1,-4.554259872E1,5.024878483E1
2.074963878E0,-4.623799801E0,2.142319870E1,-4.523759842E1,5.026701978E1
2.084952200E0,-5.062999725E0,2.081320000E1,-4.521319962E1,5.003055746E1
2.094963919E0,-5.197199821E0,2.153299904E1,-4.522539902E1,5.035888849E1
2.104963716E0,-5.233799934E0,2.047159958E1,-4.553039932E1,5.019458450E1
2.114953665E0,-5.148399830E0,2.072780037E1,-4.532299805E1,5.010311249E1
2.124982678E0,-5.551000118E0,2.115480042E1,-4.575000000E1,5.070899016E1
2.134981905E0,-5.087399960E0,2.113039970E1,-4.607939911E1,5.094787976E1
2.144968966E0,-4.379799843E0,2.019099998E1,-4.596960068E1,5.039904080E1
2.154982027E0,-4.794600010E0,2.110599899E1,-4.576219940E1,5.062242859E1
2.164957898E0,-5.075200081E0,2.111820030E1,-4.543280029E1,5.035747593E1
2.174968844E0,-5.087399960E0,2.120359993E1,-4.576219940E1,5.069174669E1
2.184982150E0,-4.513999939E0,2.103279877E1,-4.587199783E1,5.066552087E1
2.194982313E0,-5.001999855E0,2.138660049E1,-4.512779999E1,5.018889334E1
2.204982191E0,-5.014199734E0,2.159399986E1,-4.587199783E1,5.094784798E1
2.214982232E0,-4.965399742E0,2.081320000E1,-4.532299805E1,5.012004231E1
2.224982233E0,-4.940999985E0,2.198439980E1,-4.523759842E1,5.053877349E1
2.234982111E0,-4.538399696E0,2.154520035E1,-4.503020096E1,5.012496113E1
2.244982192E0,-4.538399696E0,2.139879990E1,-4.545719910E1,5.044663179E1
2.254981949E0,-5.087399960E0,2.120359993E1,-4.618919754E1,5.107755141E1
2.264982396E0,-4.928800106E0,2.170380020E1,-4.545719910E1,5.061328841E1
2.274981827E0,-5.014199734E0,2.164279938E1,-4.566460037E1,5.078197211E1
2.284969376E0,-5.172800064E0,2.105719948E1,-4.576219940E1,5.063933653E1
2.294968969E0,-5.197199821E0,2.156959915E1,-4.470079803E1,4.990410643E1
2.304981909E0,-4.818999767E0,2.141099930E1,-4.577439880E1,5.076366058E1
2.314995581E0,-5.099599838E0,2.148419952E1,-4.501799774E1,5.014176770E1
2.324976213E0,-4.977600098E0,2.099619865E1,-4.511560059E1,5.001034170E1
2.334966855E0,-4.416399956E0,2.094739914E1,-4.566460037E1,5.043365787E1
2.344981991E0,-5.184999943E0,2.121579933E1,-4.576219940E1,5.070673781E1
2.354982317E0,-4.892199993E0,2.102059937E1,-4.554259872E1,5.039769357E1
2.364982114E0,-4.782400131E0,2.076440048E1,-4.607939911E1,5.076753589E1
2.374981789E0,-5.172800064E0,2.114259911E1,-4.576219940E1,5.067490751E1
2.384970152E0,-5.245999813E0,2.070339966E1,-4.564019775E1,5.039026615E1
