"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.224812436E0,1.010429487E-2,9.164512157E-4,-1.374244690E-3,1.023841814E-2
2.241814064E0,5.273755640E-3,9.251832962E-4,-6.159782410E-3,8.161579627E-3
2.258810279E0,5.227845162E-3,5.613341928E-3,-6.157875061E-3,9.836635497E-3
2.275802153E0,5.284700543E-3,5.669057369E-3,8.197784424E-3,1.128139800E-2
2.292793771E0,5.237620324E-3,5.673229694E-3,-1.373291016E-3,7.842456888E-3
2.309801625E0,5.191344768E-3,8.450001478E-4,-6.158828735E-3,8.099089896E-3
2.326791768E0,9.978719056E-3,1.046772301E-2,3.411293030E-3,1.485883505E-2
2.343774740E0,4.672221839E-4,1.051856577E-2,-6.159782410E-3,1.219841965E-2
2.360784109E0,5.270726979E-4,5.737021565E-3,-6.159782410E-3,8.434105845E-3
2.377774852E0,5.267623812E-3,1.010909677E-3,3.408432007E-3,6.355093055E-3
2.394768627E0,5.170512944E-3,5.749732256E-3,-1.376152039E-3,7.854133915E-3
2.411772381E0,1.478895918E-2,5.702763796E-3,-6.160736084E-3,1.700557254E-2
2.428755057E0,5.273152143E-3,1.048816741E-2,-1.374244690E-3,1.181932052E-2
2.445748426E0,5.278743804E-3,5.706802011E-3,-1.374244690E-3,7.894382420E-3
2.462749789E0,1.006564870E-2,9.296387434E-4,-1.374244690E-3,1.020147345E-2
2.479743625E0,5.234759301E-3,5.719617009E-3,3.410339355E-3,8.470368244E-3
2.496749567E0,5.240380764E-3,1.045422256E-2,-1.373291016E-3,1.177447613E-2
2.513734338E0,5.093432963E-3,8.914470673E-4,-1.375198364E-3,5.350598823E-3
2.530722610E0,3.178827465E-4,8.491277695E-4,-1.374244690E-3,1.646394812E-3
2.547723536E0,-4.453156143E-3,8.576065302E-4,-1.373291016E-3,4.738355919E-3
2.564737524E0,5.070764571E-3,5.646944046E-3,-1.374244690E-3,7.712922848E-3
2.581730943E0,4.923798144E-3,5.650907755E-3,-6.160736084E-3,9.702124289E-3
2.598729488E0,4.980370402E-3,5.654856563E-3,-1.375198364E-3,7.659808263E-3
2.615726793E0,9.816870093E-3,8.263289928E-4,-1.374244690E-3,9.946974741E-3
2.632713081E0,1.459782571E-2,7.837116718E-4,-1.372337341E-3,1.468312055E-2
2.649709612E0,5.528315902E-3,7.412135601E-4,-1.094436646E-2,1.228376292E-2
2.666716734E0,4.986692220E-3,5.581840873E-3,3.412246704E-3,8.226024216E-3
2.683709786E0,2.113357186E-4,5.585670471E-3,-6.158828735E-3,8.317183946E-3
2.700706073E0,4.949361086E-3,5.639865994E-3,-1.374244690E-3,7.628421335E-3
2.717690194E0,4.954978824E-3,1.047527790E-2,-6.160736084E-3,1.312394496E-2
2.734698222E0,4.908531904E-3,5.744278431E-3,-1.377105713E-3,7.680289076E-3
2.751678548E0,9.745560586E-3,-3.762975335E-3,-1.379013062E-3,1.053743857E-2
2.768678853E0,4.964217544E-3,1.030936837E-3,3.406524658E-3,6.108248262E-3
2.785673219E0,7.864348590E-4,5.870684981E-3,-1.095199585E-2,1.245108971E-2
2.802670920E0,1.963041723E-4,5.822554231E-3,-6.163597107E-3,8.481191095E-3
2.819653464E0,5.139671266E-3,5.825787783E-3,-6.162643433E-3,9.916360123E-3
2.836651217E0,-3.870930523E-3,9.973496199E-4,-6.162643433E-3,7.345541740E-3
2.853649793E0,5.004424602E-3,5.836963654E-3,-1.379013062E-3,7.811279493E-3
2.870643049E0,5.112305284E-3,5.789667368E-3,-1.377105713E-3,7.845529535E-3
2.887639896E0,5.066379905E-3,1.063555479E-3,1.297760010E-2,1.397202419E-2
2.904634668E0,2.908669412E-4,1.068376005E-2,-6.164550781E-3,1.233811244E-2
2.921634271E0,5.029559135E-3,1.069530845E-3,-1.379013062E-3,5.323724105E-3
2.938629948E0,8.516758680E-4,1.058773696E-2,-1.095008850E-2,1.525548963E-2
2.955622696E0,5.043063313E-3,5.703270435E-3,-1.375198364E-3,7.736339689E-3
2.972621049E0,5.098894238E-3,5.655661225E-3,-1.374244690E-3,7.737814602E-3
2.989628576E0,5.103744566E-3,1.054148376E-2,8.194923401E-3,1.429432958E-2
3.006622392E0,1.048334688E-2,9.776502848E-4,-6.161689758E-3,1.219929435E-2
3.023611244E0,5.204893649E-3,5.715355277E-3,3.410339355E-3,8.449060205E-3
3.040610450E0,4.280470312E-4,5.667060614E-3,-1.094627380E-2,1.233368195E-2
3.057610299E0,9.998634458E-3,8.389502764E-4,-1.373291016E-3,1.012731242E-2
3.074607115E0,5.115877837E-3,8.473694324E-4,-1.373291016E-3,5.364342384E-3
3.091614357E0,5.222316831E-3,9.067058563E-4,-1.374244690E-3,5.475696948E-3
3.108615578E0,1.005800068E-2,5.644753575E-3,-1.373291016E-3,1.161518613E-2
3.125607981E0,4.965402186E-4,5.596771836E-3,-1.372337341E-3,5.783918823E-3
3.142604573E0,5.286525935E-3,5.599722266E-3,-1.372337341E-3,7.822247484E-3
3.159589447E0,5.239017308E-3,5.653321743E-3,-1.373291016E-3,7.829002318E-3
3.176594860E0,4.124678671E-4,5.554467440E-3,-1.371383667E-3,5.736107691E-3
3.193592418E0,3.716014326E-4,5.506798625E-3,3.414154053E-3,6.489943499E-3
3.210600821E0,-4.450459033E-3,5.458608270E-3,-1.369476318E-3,7.174848795E-3
3.227585685E0,9.854629636E-3,5.512371659E-3,-6.156921387E-3,1.286109045E-2
3.244567568E0,8.898042142E-4,5.464047194E-3,-1.094150543E-2,1.226230420E-2
3.261563926E0,9.860448539E-3,6.868541241E-4,-1.371383667E-3,9.979023356E-3
3.278569522E0,4.975490272E-3,5.372941494E-3,-6.155014038E-3,9.565991927E-3
3.295562402E0,7.468312979E-4,5.477353930E-3,-1.094341278E-2,1.226040156E-2
3.312565281E0,4.938498139E-3,1.020921767E-2,-1.370429993E-3,1.142343940E-2
3.329561222E0,7.097721100E-4,6.974339485E-4,-6.156921387E-3,6.236815816E-3
3.346561315E0,1.207403839E-4,5.485638976E-3,-1.371383667E-3,5.655749851E-3
3.363553472E0,6.776861846E-4,7.083863020E-4,-6.157875061E-3,6.235422599E-3
3.380550278E0,4.817709327E-3,1.490356028E-2,-6.154060364E-3,1.682851423E-2
3.397542527E0,4.771359265E-3,5.335345864E-3,3.417015076E-3,7.931442287E-3
3.414554104E0,4.725195467E-3,5.388990045E-3,-6.155967712E-3,9.447995787E-3
3.431530728E0,9.612269700E-3,5.615204573E-4,-6.154060364E-3,1.142731346E-2
3.448524787E0,4.780065268E-3,1.002772152E-2,-1.366615295E-3,1.119249125E-2
3.465507434E0,4.782259464E-3,5.156844854E-4,3.417968750E-3,5.900715757E-3
3.482512999E0,4.887543619E-3,5.253151059E-3,-6.152153015E-3,9.451595918E-3
3.499509062E0,4.839908332E-3,5.154132843E-3,3.420829773E-3,7.854417506E-3
3.516505533E0,4.996687174E-3,4.284232855E-4,3.419876099E-3,6.070089106E-3
3.533501006E0,2.211816609E-4,3.864169121E-4,-1.363754272E-3,1.434595787E-3
3.550534454E0,9.840395302E-3,5.072727799E-3,-1.361846924E-3,1.115439707E-2
3.567506521E0,9.635083377E-3,5.126565695E-3,3.420829773E-3,1.143759520E-2
3.584502920E0,7.224455476E-4,5.180031061E-3,-1.093673706E-2,1.212298919E-2
3.601496938E0,9.692486376E-3,9.860426188E-3,-1.362800598E-3,1.389350648E-2
3.618476909E0,4.809156060E-3,2.981871367E-4,-1.363754272E-3,5.007666452E-3
3.635505281E0,-1.679733396E-5,3.581792116E-4,-1.364707947E-3,1.411028801E-3
3.652483299E0,4.771918058E-3,5.197450519E-3,3.418922424E-3,7.840518120E-3
3.669487581E0,4.675336182E-3,5.098268390E-3,-6.150245667E-3,9.256167174E-3
3.686486748E0,-2.004913986E-4,2.710223198E-4,-1.363754272E-3,1.404804475E-3
3.703475325E0,-2.406090498E-4,9.889587760E-3,-1.364707947E-3,9.986203811E-3
3.720472029E0,-2.817586064E-4,5.106240511E-3,-6.151199341E-3,7.999395815E-3
3.737454167E0,4.559095949E-3,5.108937621E-3,3.420829773E-3,7.654323995E-3
3.754468897E0,3.297217190E-4,3.317892551E-4,-1.093769073E-2,1.094768830E-2
3.771450648E0,4.520688206E-3,5.068629980E-3,-1.364707947E-3,6.927485800E-3
3.788459589E0,4.579424858E-3,1.390129328E-4,-1.360893250E-3,4.779381452E-3
3.805451676E0,4.486527294E-3,4.876405001E-3,-1.360893250E-3,6.764634752E-3
3.822447994E0,4.444580525E-3,4.828244448E-3,-1.359939575E-3,6.701915856E-3
3.839445971E0,-3.787130117E-4,4.779770970E-3,3.426551819E-3,5.893292072E-3
3.856425463E0,-4.649236798E-4,4.731699824E-3,-1.358985901E-3,4.944894330E-3
3.873436643E0,5.030259490E-3,-4.925370216E-3,-1.092815399E-2,1.299951276E-2
3.890431486E0,-3.391616046E-4,-1.304298639E-4,3.429412842E-3,3.448610587E-3
3.907415679E0,4.403561354E-3,4.606723785E-3,-1.092720032E-2,1.264978116E-2
3.924428293E0,4.361845553E-3,4.609361291E-3,-6.141662598E-3,8.831303845E-3
3.941400706E0,9.249962866E-3,-1.665651798E-4,3.430366516E-3,9.866963637E-3
3.958403451E0,4.472129047E-3,4.621431231E-3,-6.141662598E-3,8.892557804E-3
3.975399597E0,-2.991817892E-4,-2.058893442E-4,-6.139755249E-3,6.150487353E-3
3.992395895E0,4.443246871E-3,1.414030790E-2,-1.354217529E-3,1.488370436E-2
4.009381633E0,-3.776922822E-4,-2.579391003E-4,-1.353263855E-3,1.428463195E-3
4.026387839E0,9.144850075E-3,-2.484321594E-4,-1.354217529E-3,9.247913632E-3
4.043387310E0,4.317406565E-3,9.369537234E-3,-6.141662598E-3,1.200617537E-2
4.060369915E0,-5.541108549E-4,-2.427846193E-4,-1.355171204E-3,1.484072843E-3
4.077374413E0,-5.382336676E-4,4.545584321E-3,-6.139755249E-3,7.658239146E-3
4.094373640E0,-6.762109697E-4,-2.814978361E-4,-1.355171204E-3,1.540451654E-3
4.111365624E0,4.117459059E-3,-3.229528666E-4,-1.353263855E-3,4.346158156E-3
4.128368360E0,-7.052458823E-4,9.243845940E-3,-1.354217529E-3,9.369096255E-3
4.145358179E0,8.868277073E-3,-2.669245005E-4,-1.355171204E-3,8.975192250E-3
4.162372573E0,8.819669485E-3,4.521504045E-3,-1.356124878E-3,1.000348156E-2
4.179366165E0,3.940459341E-3,-2.545714378E-4,8.214950562E-3,9.114682614E-3
4.196346024E0,-7.801540196E-4,-1.438707113E-4,-1.358032227E-3,1.572765273E-3
4.213354559E0,4.013624042E-3,4.643827677E-3,-1.358032227E-3,6.286379321E-3
4.230357377E0,8.799243718E-3,-2.346932888E-4,-6.141662598E-3,1.073320970E-2
4.247349759E0,4.123266786E-3,4.604086280E-3,-1.356124878E-3,6.327559889E-3
4.264333443E0,-7.481761277E-4,4.606410861E-3,-6.142616272E-3,7.714306398E-3
4.281345334E0,4.046577960E-3,4.558175802E-3,3.429412842E-3,6.993756664E-3
4.298321022E0,-6.711743772E-4,-1.158118248E-4,-1.358032227E-3,1.519256052E-3
4.315334339E0,4.276227206E-3,-5.559623241E-5,-6.144523621E-3,7.486279489E-3
4.332330789E0,4.233982414E-3,9.663373232E-3,-6.147384644E-3,1.221055802E-2
4.349318460E0,8.968088776E-3,1.514106989E-4,-6.149291992E-3,1.087489464E-2
4.366319407E0,4.191335291E-3,4.837274551E-3,3.423690796E-3,7.258662085E-3
4.451291159E0,4.161212593E-3,4.774600267E-3,-1.359939575E-3,6.477803147E-3
4.468286257E0,4.169717431E-3,-5.228817463E-5,8.212089539E-3,9.210195009E-3
4.485281944E0,4.177208990E-3,5.829334259E-5,-6.147384644E-3,7.432550774E-3
4.502278354E0,4.237681627E-3,4.794806242E-3,-1.093292236E-2,1.266794790E-2
4.519259768E0,4.296876490E-3,-8.313357830E-5,-1.358032227E-3,4.507139924E-3
4.536287215E0,4.204418510E-3,9.533718228E-3,-6.145477295E-3,1.209693389E-2
4.553279332E0,4.212502390E-3,2.254545689E-5,-1.360893250E-3,4.426930666E-3
4.570276077E0,4.118014127E-3,4.809573293E-3,-1.360893250E-3,6.476269454E-3
4.587271938E0,-6.516240537E-4,4.913032055E-3,3.421783447E-3,6.022549281E-3
4.604268652E0,3.990162164E-3,4.863873124E-3,3.422737122E-3,7.161967974E-3
4.621240068E0,3.999080509E-3,4.814803600E-3,-1.361846924E-3,6.405435635E-3
4.638263505E0,8.836783469E-3,4.765525460E-3,-1.360893250E-3,1.013168325E-2
