"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.923838167E0,5.834156275E-1,1.035039186E0,1.739022255E0,2.106152491E0
1.940836753E0,1.001124382E0,4.983491898E-1,3.288870811E0,3.473798088E0
1.957798260E0,7.359031439E-1,1.517772675E-2,4.662162781E0,4.719909490E0
1.974817356E0,1.729035378E-2,-1.963013411E-1,4.763386726E0,4.767461198E0
1.991813327E0,-2.188809663E-1,-1.660883427E-1,3.789608002E0,3.799555635E0
2.008794406E0,-9.427121282E-2,-6.137371063E-2,2.011735916E0,2.014878455E0
2.025800399E0,1.619664729E-1,1.501450539E-1,5.240058899E-1,5.686465055E-1
2.042796472E0,6.763313413E-1,1.582331657E-1,-3.529834747E-1,7.791400075E-1
2.059785965E0,1.261249304E0,-6.184554100E-2,-5.101795197E-1,1.361931650E0
2.076769556E0,1.591134667E0,-4.259831905E-1,-6.800460815E-2,1.648573879E0
2.093763831E0,1.368497610E0,-7.257322073E-1,1.542758942E-1,1.556686865E0
2.110757157E0,1.070069551E0,-9.797772169E-1,3.522033691E-1,1.493003501E0
2.127751308E0,7.501735091E-1,-1.146612644E0,1.683635712E-1,1.380516983E0
2.144735277E0,5.168570876E-1,-1.174569607E0,-9.497261047E-2,1.286769135E0
2.161732460E0,4.715479314E-1,-1.113838315E0,-4.688558578E-1,1.297235160E0
2.178745796E0,5.224791169E-1,-1.075414419E0,-1.030084610E0,1.578155539E0
2.195717996E0,6.165397167E-1,-9.803487062E-1,-1.485080242E0,1.883259975E0
2.212734404E0,8.063268661E-1,-9.330382347E-1,-1.908718109E0,2.272427817E0
2.229717762E0,1.058573484E0,-8.893303871E-1,-2.055729389E0,2.477399782E0
2.246708688E0,1.367745996E0,-8.319799900E-1,-1.898224354E0,2.483178509E0
2.263715739E0,1.816761732E0,-9.007992744E-1,-1.766194820E0,2.689146085E0
2.280709340E0,1.921877861E0,-9.486820698E-1,-1.681399822E0,2.724099401E0
2.297692505E0,1.885488033E0,-1.023355246E0,-1.577022076E0,2.662577644E0
2.314700725E0,1.907998085E0,-1.189719915E0,-1.343001842E0,2.619073141E0
2.331687064E0,1.986726046E0,-1.346539259E0,-8.177442551E-1,2.535538212E0
2.348684653E0,1.944127560E0,-1.525168061E0,-1.525211334E-1,2.475688244E0
2.365677157E0,1.759287715E0,-1.584333897E0,4.412431717E-1,2.408298714E0
2.382659518E0,1.418979883E0,-1.351652980E0,5.780181885E-1,2.043177602E0
2.399663099E0,1.547803521E0,-1.134633899E0,1.848039627E-1,1.928015127E0
2.416668796E0,2.360167027E0,-1.134827256E0,2.008152008E-1,2.626508717E0
2.433655105E0,3.034465551E0,-1.410344124E0,1.237687111E0,3.567761359E0
2.450647577E0,2.981654644E0,-1.849464059E0,2.491639137E0,4.303376269E0
2.467641708E0,2.087715864E0,-2.060557604E0,3.084859848E0,4.256855113E0
2.484635931E0,8.130364418E-1,-1.752869368E0,2.482749939E0,3.146049354E0
2.501629695E0,2.783240974E-1,-1.257894635E0,1.375943184E0,1.884935771E0
2.518621028E0,5.098374486E-1,-7.454609871E-1,5.506772995E-1,1.057776817E0
2.535617296E0,1.304255962E0,-4.142580032E-1,-1.270294189E-1,1.374347038E0
2.552595527E0,2.053959608E0,-2.874073982E-1,-6.247224808E-1,2.166017373E0
2.569592089E0,2.591460466E0,-2.727127075E-1,-7.109251022E-1,2.701009824E0
2.586585629E0,2.946861744E0,-3.245117664E-1,-7.329549789E-1,3.053935989E0
2.603579903E0,2.855190277E0,-4.162448645E-1,-6.349391937E-1,2.954406723E0
2.620573800E0,2.163080692E0,-4.009447098E-1,-5.792684555E-1,2.274912457E0
2.637562661E0,1.511482716E0,-4.178718328E-1,-4.102048874E-1,1.620945686E0
2.654561187E0,1.257421732E0,-3.749246597E-1,-2.385654449E-1,1.333638401E0
2.671559051E0,1.117873430E0,-3.093655109E-1,-1.834888458E-1,1.174315197E0
2.688562184E0,9.982020855E-1,-2.083297968E-1,-4.193935394E-1,1.102587706E0
2.705553122E0,9.621453285E-1,-6.475639343E-2,-8.997650146E-1,1.318898823E0
2.722541078E0,8.795335889E-1,1.340713501E-1,-1.233740807E0,1.521075553E0
2.739543723E0,6.126826406E-1,3.625686169E-1,-1.309156418E0,1.490210236E0
2.756537833E0,2.710309029E-1,5.459499359E-1,-1.148153305E0,1.299913495E0
2.773531832E0,4.576507211E-2,6.975650787E-1,-8.344573975E-1,1.088581935E0
2.790511457E0,-4.586401582E-2,7.664527893E-1,-4.817752838E-1,9.064550790E-1
2.807519269E0,-1.103534102E-1,7.577025890E-1,-1.584300995E-1,7.819150753E-1
2.824516504E0,-2.196989655E-1,5.748847723E-1,2.921037674E-1,6.812376588E-1
2.841497115E0,-4.572701752E-1,5.261785984E-1,7.742290497E-1,1.041820787E0
2.858497532E0,-6.368333101E-1,5.689226389E-1,1.067389488E0,1.366949141E0
