"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.640399558E0,1.564626694E-1,4.227041602E-1,3.201735497E0,3.233306290E0
3.657401216E0,1.383901834E-1,5.148788095E-1,3.327990532E0,3.370426236E0
3.674390200E0,4.536747932E-2,6.309072375E-1,2.877234459E0,2.945943021E0
3.691384616E0,7.920742035E-3,6.439204216E-1,2.642538071E0,2.719872001E0
3.708378278E0,3.747344017E-2,6.583569646E-1,2.870940208E0,2.945697851E0
3.725370354E0,2.039872408E-1,5.952774286E-1,3.197194099E0,3.258529748E0
3.742362247E0,3.531197309E-1,4.595221877E-1,3.400744438E0,3.449770560E0
3.759345300E0,3.919082880E-1,3.146361709E-1,3.657920837E0,3.692285590E0
3.776344282E0,4.607006311E-1,1.531921625E-1,3.918742180E0,3.948702721E0
3.793333888E0,4.883255959E-1,1.227732450E-1,3.881983757E0,3.914502912E0
3.810327082E0,5.980007648E-1,6.025031209E-2,3.618140221E0,3.667720501E0
3.827321121E0,5.529572964E-1,3.916458040E-2,3.392842293E0,3.437829906E0
3.844318142E0,4.021170139E-1,3.775361925E-3,3.291749954E0,3.316222264E0
3.861322017E0,3.718469143E-1,-1.231545061E-1,3.271986961E0,3.295350639E0
3.878279394E0,3.161680698E-1,-2.517980635E-1,3.037001610E0,3.063779250E0
3.895314003E0,2.253003120E-1,-3.598598242E-1,2.712037086E0,2.745069122E0
3.912305387E0,2.272686958E-1,-5.483378172E-1,2.237454414E0,2.314849386E0
3.929297086E0,3.002811670E-1,-8.073076010E-1,1.606281281E0,1.822650239E0
3.946290556E0,1.950728893E-2,-8.960877657E-1,1.317363739E0,1.593361553E0
3.963284137E0,-2.803572416E-1,-9.410977960E-1,1.254089355E0,1.592797965E0
3.980277790E0,-3.180567622E-1,-9.274928570E-1,1.132918358E0,1.498301408E0
3.997271880E0,-2.260569334E-1,-1.034593105E0,8.444232941E-1,1.354450195E0
4.014265259E0,-1.432878375E-1,-1.187047243E0,4.154949188E-1,1.265799585E0
4.031259583E0,-1.593793333E-1,-1.308498979E0,9.945487976E-2,1.321916269E0
4.048252950E0,-1.786460876E-1,-1.381244659E0,5.469608307E-2,1.393823122E0
4.065235118E0,-3.580871820E-1,-1.482171774E0,3.819084167E-2,1.525292804E0
4.082237265E0,-5.235028267E-1,-1.496268153E0,-1.729021072E-1,1.594606138E0
4.099245720E0,-4.203079343E-1,-1.296638250E0,-5.387878418E-1,1.465681360E0
4.116228182E0,-1.022765413E-1,-1.160047054E0,-1.073712349E0,1.583991120E0
4.133222283E0,2.071293592E-1,-1.036103845E0,-1.294569016E0,1.671024442E0
4.150215172E0,2.683925033E-1,-1.056418777E0,-1.119003296E0,1.562121488E0
4.167209517E0,-1.909852028E-3,-9.914342165E-1,-6.919431686E-1,1.209020596E0
4.184202723E0,-1.533327699E-1,-1.060236335E0,-4.368972778E-1,1.156931828E0
4.201184097E0,-2.652695775E-1,-1.066225410E0,-5.021076202E-1,1.208021786E0
4.218193059E0,-2.600361705E-1,-1.084900022E0,-7.972202301E-1,1.371199096E0
4.235176997E0,-3.977493048E-1,-9.589893818E-1,-9.444541931E-1,1.403516607E0
4.252154649E0,-4.666520953E-1,-8.632627726E-1,-9.082899094E-1,1.337152703E0
4.269158840E0,-3.438912630E-1,-8.050999641E-1,-9.267063141E-1,1.274845773E0
4.286152136E0,-1.414547563E-1,-7.793343067E-1,-1.168904305E0,1.411987494E0
4.303146034E0,-1.649069190E-1,-6.172323227E-1,-1.146564484E0,1.312547198E0
4.320139819E0,-2.888527513E-1,-5.262732506E-1,-9.207611084E-1,1.099181725E0
4.337132311E0,-2.724387050E-1,-5.088155270E-1,-9.744195938E-1,1.132523569E0
4.354142923E0,-9.493643045E-2,-6.522667408E-1,-1.156109810E0,1.330809798E0
4.371134418E0,-5.388176441E-2,-7.875144482E-1,-1.330107212E0,1.546695654E0
4.388118356E0,-1.366361380E-1,-8.108730316E-1,-1.399641991E0,1.623324431E0
4.405120411E0,-7.740473747E-2,-8.791236877E-1,-1.486260414E0,1.728531160E0
4.422102702E0,4.572218657E-2,-8.588252068E-1,-1.871058464E0,2.059254970E0
4.439105764E0,1.565938592E-1,-7.487363815E-1,-2.429385185E0,2.546966860E0
4.456126506E0,3.637735248E-1,-6.301710606E-1,-2.872212887E0,2.962946778E0
4.473097129E0,5.367991924E-1,-7.465858459E-1,-3.266688824E0,3.393641064E0
4.490090384E0,5.351763964E-1,-7.435584068E-1,-3.291699886E0,3.416808602E0
4.507082348E0,4.456245899E-1,-6.506543159E-1,-3.344420433E0,3.436143237E0
4.524078341E0,2.959471345E-1,-5.097000599E-1,-3.627465248E0,3.675035100E0
4.541071871E0,2.322315574E-1,-4.167680740E-1,-4.009595871E0,4.037881397E0
4.558065341E0,1.383436322E-1,-3.242793083E-1,-4.128882885E0,4.143907565E0
4.575058902E0,-2.022618055E-2,-1.184167862E-1,-3.783396244E0,3.785302996E0
4.592052709E0,-1.077635884E-1,-5.860447884E-2,-3.388935566E0,3.391154928E0
4.609034256E0,8.342802525E-2,1.177740097E-2,-3.265022755E0,3.266109694E0
4.626040013E0,1.768075824E-1,-2.922058105E-3,-3.038423061E0,3.043564384E0
4.643048437E0,8.965083957E-2,-3.861737251E-2,-2.604083538E0,2.605912441E0
4.660028133E0,-7.581311464E-2,-1.985526085E-2,-2.522216797E0,2.523434055E0
4.677022060E0,-1.903635710E-1,1.886336803E-1,-2.757264137E0,2.770257475E0
4.694002245E0,-1.215078831E-1,7.989597321E-2,-2.796754360E0,2.800532536E0
4.711009518E0,-1.636608094E-1,-2.250933647E-2,-2.610541821E0,2.615763775E0
4.727999469E0,9.871372581E-2,-2.862198353E-1,-2.100998878E0,2.122701694E0
4.744982582E0,3.666894436E-1,-7.849787474E-1,-1.461488724E0,1.699000315E0
4.761977100E0,3.213295639E-1,-7.608635426E-1,-1.003701210E0,1.299839274E0
4.778971098E0,4.673447907E-1,-8.223922253E-1,-8.091602325E-1,1.244781269E0
4.795964792E0,4.045667648E-1,-8.889147043E-1,-5.601463318E-1,1.125880780E0
4.812958781E0,1.876399517E-1,-9.250461459E-1,-2.027187347E-1,9.654087264E-1
4.829967712E0,-3.190100193E-3,-8.455950618E-1,3.066654205E-1,8.994914482E-1
4.846959789E0,-9.700149298E-2,-6.768984199E-1,7.418966293E-1,1.008965494E0
4.863952759E0,-4.872083664E-2,-5.881889462E-1,9.345636368E-1,1.105327620E0
4.880940512E0,-2.499663830E-2,-4.170039892E-1,7.826309204E-1,8.871461641E-1
4.897947217E0,1.537193060E-1,-3.340393305E-1,5.762767792E-1,6.835984388E-1
4.914932323E0,4.638955593E-1,-4.668035209E-1,8.823175430E-1,1.100721974E0
4.931928042E0,3.980970383E-1,-5.163371563E-1,1.386025429E0,1.531715313E0
4.948909305E0,2.919548750E-1,-4.233510494E-1,1.988053322E0,2.053489657E0
4.965915164E0,2.082365751E-1,-3.990468085E-1,2.361823082E0,2.404331320E0
4.982909306E0,2.117683887E-1,-4.084451497E-1,2.300178528E0,2.345739660E0
4.999903162E0,1.242568493E-1,-2.819829583E-1,2.361923218E0,2.381939428E0
5.016893782E0,4.854607582E-2,-1.536638141E-1,2.682513237E0,2.687349355E0
5.033893550E0,1.431505680E-1,-7.946491241E-2,3.160820007E0,3.165057642E0
5.050864314E0,3.663034439E-1,-1.829133630E-1,3.577553749E0,3.600906322E0
5.067873479E0,5.317432880E-1,-2.018015385E-1,3.957693100E0,3.998350842E0
5.084843552E0,7.117869854E-1,-2.742792368E-1,4.284224510E0,4.351603092E0
5.101844000E0,8.136708736E-1,-4.393544197E-1,4.512661934E0,4.606431409E0
5.118856869E0,8.049905300E-1,-6.162892580E-1,4.675315857E0,4.783973303E0
5.135854225E0,7.046477795E-1,-7.512249947E-1,4.499382973E0,4.615768042E0
5.152834745E0,5.236692429E-1,-7.875843048E-1,3.937977791E0,4.049961431E0
5.169837543E0,2.963166237E-1,-7.773677111E-1,3.633405685E0,3.727430881E0
5.186837391E0,1.003668308E-1,-7.817600965E-1,3.658294678E0,3.742237606E0
5.203828083E0,2.889847755E-2,-7.168592215E-1,3.569990158E0,3.641366776E0
5.220818848E0,-3.345131874E-2,-5.888855457E-1,3.337389946E0,3.389111510E0
5.237802083E0,7.048702240E-2,-5.083256960E-1,2.969963074E0,3.013974800E0
5.254796356E0,2.856230736E-1,-5.034074187E-1,2.678141594E0,2.739971162E0
5.271786734E0,3.999884129E-1,-5.349936485E-1,2.508731842E0,2.596140287E0
5.288784079E0,3.684638739E-1,-5.561223030E-1,2.375926971E0,2.467806033E0
5.305774446E0,3.785275221E-1,-6.098850369E-1,2.238176346E0,2.350462975E0
5.322777315E0,3.559103012E-1,-7.879345417E-1,2.023445129E0,2.200418864E0
5.339762026E0,1.168819666E-1,-9.202548265E-1,1.784441948E0,2.011159717E0
